,0
1143,FLT3LG
1144,SHC1
1145,USE1
1146,DDX60
1147,CNGA3
1148,FNDC3A
1149,ATP5E
1150,PLD3
1151,LDB2
1152,FPGT
1153,AHCYL2
1154,ACP6
1155,LYN
1156,KLHL25
1157,ARPC1B
1158,RAB20
1159,GAA
1160,GALNS
1161,CNPY4
1162,ACP2
1163,SPAG16
1164,CARD16
1165,PYGL
1166,SBDS
1167,ORAI1
1168,IFT122
1169,TCTN3
1170,REXO2
1171,ASNA1
1172,BATF3
1173,ANXA6
1174,SEC61G
1175,NME2
1176,MED16
1177,SDC2
1178,FHL3
1179,AKT2
1180,NDUFB4
1181,STEAP1
1182,LEPROT
1183,TLN1
1184,NTPCR
1185,IL17RB
1186,RPE65
1187,C3orf58
1188,CASP1
1189,GATSL3
1190,ANKRD35
1191,SLC40A1
1192,IQGAP2
1193,PRPF31
1194,SEPT8
1195,GALNT4
1196,THBS3
1197,TSPAN6
1198,OXTR
1199,CD99L2
1200,FDX1L
1201,TSPAN5
1202,WISP1
1203,PFKL
1204,CC2D1A
1205,LOC101929625
1206,DAZAP2
1207,AK2
1208,ARHGAP18
1209,GSAP
1210,NAALADL2
1211,FASTK
1212,C20orf27
1213,PRDM5
1214,TNFRSF11B
1215,SNAP23
1216,LASP1
1217,LTBP1
1218,PPP2CB
1219,COG4
1220,IFITM2
1221,NPHP1
1222,NUDT16L1
1223,SDHC
1224,ARID5A
1225,PSMD9
1226,PAQR8
1227,HAT1
1228,PCGF5
1229,GIPC1
1230,IFIH1
1231,COL23A1
1232,PAX6
1233,C6orf120
1234,RAB4B
1235,ELF1
1236,SYT17
1237,ZNF217
1238,SH3GL1
1239,GBP7
1240,DMRTA2
1241,LAMA5
1242,SCAP
1243,TRIM25
1244,DHCR24
1245,ANP32E
1246,SDSL
1247,CHCHD2
1248,TGIF2
1249,IRS2
1250,IFT43
1251,CHCHD5
1252,MGST2
1253,MYCBP
1254,CBLN4
1255,PLEKHF2
1256,CXXC5
1257,TTC8
1258,GMPR2
1259,PHF19
1260,ADK
1261,TXNDC15
1262,AGPAT2
1263,WASL
1264,IGSF3
1265,DBX2
1266,KRCC1
1267,LOC100996654
1268,MRPL54
1269,ATP5S
1270,DCAKD
1271,ASPH
1272,P4HTM
1273,PTRHD1
1274,IDH3A
1275,TRAPPC1
1276,ADAM15
1277,LINC00396
1278,TMEM50A
1279,LINC01159
1280,WIPF2
1281,CCDC47
1282,GRAMD1C
1283,SLC5A9
1284,UBXN11
1285,TRIP10
1286,TOM1L1
1287,ZNF580
1288,NEO1
1289,SYS1-DBNDD2
1290,AFF1
1291,ERLEC1
1292,MAPK1
1293,EML3
1294,COL5A3
1295,C6orf15
1296,HMGCL
1297,TMEM71
1298,SIL1
1299,ST3GAL4
1300,ERI1
1301,COLGALT2
1302,SYNM
1303,EIF3G
1304,KLHL5
1305,ACOT9
1306,EMILIN1
1307,MRPS12
1308,ZNF592
1309,CPEB2
1310,LYPLA1
1311,TRPM8
1312,POU3F2
1313,CBY1
1314,FURIN
1315,ECI1
1316,SMAD3
1317,FOXG1
1318,TTC23
1319,POLD2
1320,SLCO1C1
1321,AP5S1
1322,DTX3L
1323,CROT
1324,FAM3A
1325,DARS
1326,MAMLD1
1327,PDZD2
1328,DALRD3
1329,POLR2I
1330,ZMAT4
1331,REEP2
1332,CSRNP1
1333,ITPKB
1334,PARP10
1335,ERMAP
1336,TMCO1
1337,SERTAD1
1338,RMDN3
1339,LENG1
1340,EPHA2
1341,FAM120AOS
1342,KANSL1-AS1
1343,ADCK4
1344,MESDC2
1345,HFE
1346,EYA2
1347,ROBO2
1348,AURKAIP1
1349,TBX2
1350,NEDD4
1351,HADHA
1352,RWDD3
1353,NUDT22
1354,PROSC
1355,HCG22
1356,UQCR10
1357,CX3CL1
1358,TST
1359,LACTB2
1360,DRAP1
1361,ADGRE5
1362,AK4
1363,RFX4
1364,PROSER3
1365,TM9SF4
1366,PARVA
1367,POSTN
1368,FKBP1A
1369,APOO
1370,CLYBL
1371,LGR4
1372,TBX2-AS1
1373,ISG15
1374,ABCC6P2
1375,C14orf79
1376,NUDCD2
1377,SLC27A5
1378,ADAMTS3
1379,TRIM38
1380,WDR49
1381,PRDX3
1382,ATL3
1383,QARS
1384,GPX4
1385,WFS1
1386,PEX19
1387,MAGED1
1388,NOL7
1389,SLC35A2
1390,TECPR2
