bcell,epi,fibro
AC002398.13,0,3.1241129276599e-05,0
AC002429.5,0,0.00161989404391201,0
AC002451.3,0.000122942022785109,0.00638657572099131,0.00659086375264958
AC002454.1,0.00109381411771774,0.00297468025938239,0.00481367193865181
AC002456.2,0.00283749172893939,0.00254363532796233,0.00863978591232742
AC002463.3,0,3.2667552206213e-05,0
AC002467.7,0.0139230521583673,0.052193184375313,0.0328276378085865
AC002480.2,0.00210002140801249,3.4558588362699e-05,0
AC002480.3,0.00329400571881907,0.00411333817971904,0
AC002480.4,0.00031608375764417,0.00403668937597465,0.000335811115650158
AC002511.2,0,0.000259454369345281,0
AC002511.3,0,3.314375545628e-05,0
AC002539.1,0,0,0
AC002550.5,0.000406481924417321,0.00219077395427254,0.0012019198346143
AC002550.6,0.00217002309921332,0.00178448266078981,0.00254717871228006
AC003002.6,0,2.42781977695581e-05,0
AC003005.2,0,7.17692978125791e-05,0
AC003075.4,0.0233534576202285,0.0529522292538148,0.0669550473847003
AC003084.2,0,0.000118694076184136,0
AC003088.1,0,8.26132428502869e-06,0
AC003090.1,0.00680975784510492,0.00202004864373013,0.0125762179222278
AC003092.1,0.00834720999846709,0.0011393960322296,0
AC003092.2,0.0001234290287741,0,0
AC003101.1,0,7.57321628584263e-05,0
AC003956.1,7.82389597071736e-05,0.0010118570306034,0
AC003958.2,0,3.88432476197644e-05,0.000640202611322431
AC003984.1,0,0,0
AC003986.5,0,0,0
AC003986.6,0,1.35938940806213e-05,0.000243300886483811
AC003986.7,3.82643253062738e-05,0,0.000913973855296838
AC003991.3,0.000363350872676784,0.00231811846770781,0.000432445242161768
AC004012.1,0,0.00447973153204264,0.000922172216977977
AC004019.13,0,0.000808443043348459,0
AC004053.1,0,7.41323455593125e-05,0
AC004066.3,0,4.30143836095671e-05,0
AC004067.5,0.00251849298260417,0.00119773592170489,0.00337845544826335
AC004069.2,0.00539475112405634,0.0096492240494598,0.00872408925356157
AC004076.5,0.00402172088461009,0.00601443136743208,0.0105217523874516
AC004076.7,0,3.60444529028761e-05,0
AC004076.9,0,0,0
AC004112.4,0,7.27412814543636e-05,0
AC004156.3,0.000929680355935749,0.00504221972769359,0.00339128375890219
AC004158.1,0,6.82729363288029e-05,0.00035337533340521
